Case ID,Case Title,Accused Party
JF-011,"The Office Promotion Dispute Case Category: Workplace Harassment Case Description: Rajiv Mehta, a senior manager at a technology firm, was accused of workplace sexual harassment by his colleague Priya Sharma after he was selected for a promotion they both competed for. Priya alleged that Rajiv had made inappropriate comments and sent suggestive messages. The complaint came three days after the promotion announcement. Rajiv maintained his innocence, stating their interactions had always been professional and that Priya had congratulated him publicly on his promotion before filing the complaint.",Colleague/Senior Manager Accuser's Intent: Career Rivalry Legal Loophole Used: Sexual Harassment of Women at Workplace Act misuse Investigation & Evidence: Digital forensic analysis of alleged messages revealed they were edited versions of normal work communications. Company email archives showed consistently professional exchanges. Five colleagues provided testimonies confirming professional conduct between the two. Outcome & Judgment Basis: Case Dismissed; Internal committee found fabricated evidence and misrepresentation of facts.
JF-012,"The Inheritance Property Dispute Case Category: Domestic Violence Case Description: After 12 years of marriage, Anjali filed domestic violence charges against her husband Vikram when his elderly father modified his will to include Vikram's siblings as beneficiaries of family property. Anjali claimed a pattern of verbal and psychological abuse that worsened after she questioned the property distribution. The case gained attention when she submitted audio recordings of alleged threats and photographs of claimed injuries.",Husband Accuser's Intent: Financial Gain Legal Loophole Used: Protection of Women from Domestic Violence Act misuse Investigation & Evidence: Forensic analysis determined audio recordings were spliced from different conversations. Medical examination revealed injuries were self-inflicted. Family counselor notes from sessions six months prior documented Anjali's discontent about inheritance matters with no mention of abuse. Outcome & Judgment Basis: Case Dismissed; Court cited fabricated evidence and misrepresentation of facts.
JF-013,"The Business Partnership Fallout Case Category: Dowry Harassment Case Description: When Nikhil and his business partner Rohit had a financial dispute over their startup's direction, Nikhil's wife Kavita filed dowry harassment charges against Rohit and his family. She claimed they had pressured her husband into business decisions that benefited them financially, equating this to a form of dowry harassment by extended family. The case alleged that Rohit's family had threatened to harm her if Nikhil didn't comply with their business demands.",Business Partner and Family Accuser's Intent: Financial Gain Legal Loophole Used: IPC 498A misuse Investigation & Evidence: Business contracts and recorded board meetings showed legitimate business disagreements with no personal threats. The alleged threats occurred during times when phone records showed Rohit was traveling abroad. Witness testimonies from neutral business associates contradicted the allegations. Outcome & Judgment Basis: Case Dismissed; Court cited deliberate misapplication of dowry harassment laws to business conflicts.
JF-014,"The Neighbor's Construction Complaint Case Category: Rape Allegation Case Description: Homeowner Sanjay Kapoor faced rape allegations from his neighbor Meera Reddy after a heated property dispute regarding his home construction that blocked her apartment's view. Meera claimed the assault occurred when she visited his home to discuss the construction issue. The case took priority in local courts due to the serious nature of the allegations, temporarily halting all construction while Sanjay was taken into custody.","Neighbor Accuser's Intent: Revenge Legal Loophole Used: False criminal complaint Investigation & Evidence: Security camera footage from the building showed Meera never entered Sanjay's apartment on the day in question. Electronic records showed Sanjay was on a video conference during the alleged time of the incident, with multiple witnesses. Prior emails documented Meera's threats to ""make him pay"" for the construction. Outcome & Judgment Basis: Acquittal; Court ordered the accuser to pay compensation for malicious prosecution."
JF-015,"The Corporate Layoff Retaliation Case Category: Workplace Harassment Case Description: Following a company restructuring, HR manager Deepak Malhotra was responsible for implementing layoffs across departments. Former employee Anisha Kapoor, who was laid off due to documented performance issues, filed workplace harassment charges against Deepak two weeks after her termination. She claimed months of inappropriate behavior that created a hostile work environment, stating her layoff was retaliation for rejecting his advances.",HR Manager Accuser's Intent: Revenge Legal Loophole Used: Sexual Harassment of Women at Workplace Act misuse Investigation & Evidence: Performance reviews from multiple supervisors documented ongoing issues predating the alleged harassment. Email communications showed Deepak had minimal individual contact with Anisha. Four female colleagues in the same department provided statements that contradicted the allegations of inappropriate behavior. Outcome & Judgment Basis: Case Dismissed; Court cited lack of evidence and apparent retaliatory motive.
JF-016,"The Rental Property Dispute Case Category: Domestic Violence Case Description: Landlord Arjun Singh found himself facing domestic violence charges from his tenant Nisha Patel after initiating eviction proceedings due to consistent late rent payments. Nisha claimed Arjun had physically threatened her during rent collection visits and created a hostile living environment through intimidation, filing charges under the Domestic Violence Act by claiming their landlord-tenant relationship constituted a domestic relationship under the law.","Landlord Accuser's Intent: Financial Gain Legal Loophole Used: Protection of Women from Domestic Violence Act misuse Investigation & Evidence: Rent payment records showed a pattern of delinquency. Witness statements from other tenants contradicted claims of threatening behavior. Building security footage showed all interactions were brief and in common areas with no physical confrontation. Outcome & Judgment Basis: Case Dismissed; Court ruled landlord-tenant relationship was not a ""domestic relationship"" under the Act and found evidence of intentional misapplication of law."
JF-017,"The Academic Rivalry Case Case Category: Rape Allegation Case Description: Professor Vivek Sharma, a renowned academic, was accused of rape by his research colleague Dr. Isha Varma after he received a prestigious grant they had both applied for. The allegations claimed the assault occurred during a conference they both attended. The university immediately placed Vivek on administrative leave pending investigation, and his grant was temporarily suspended, causing significant professional disruption.","Academic Colleague Accuser's Intent: Career Rivalry Legal Loophole Used: False criminal complaint Investigation & Evidence: Hotel security footage showed Dr. Varma never visited the accused's room. Conference attendance logs and witness statements confirmed the accused was presenting to an audience during the alleged time of assault. Electronic communications revealed threatening messages from the accuser stating she would ""destroy his career"" after losing the grant. Outcome & Judgment Basis: Acquittal; Court ordered compensation and noted potential academic ethics violations by the accuser."
JF-018,"The Family Business Succession Case Category: Dowry Harassment Case Description: When aging patriarch Ramesh Agarwal announced plans to hand his family business leadership to his daughter-in-law Maya rather than his son Aditya, Maya's sister-in-law Pooja filed dowry harassment charges against Maya and Ramesh. Pooja claimed they had been demanding jewelry and cash from her as dowry, suggesting this favoritism was part of a larger pattern of financial manipulation within the family.",Father-in-law and Sister-in-law Accuser's Intent: Revenge Legal Loophole Used: IPC 498A misuse Investigation & Evidence: Family business records and succession planning documents predated any alleged dowry demands by years. Financial records showed Pooja had received substantial gifts from the family rather than giving assets. Multiple family members provided consistent testimonies contradicting the allegations. Outcome & Judgment Basis: Case Dismissed; Court cited clear motive of business rivalry and complete lack of evidence for dowry demands.
JF-019,"The Competitive Promotion Case Case Category: Workplace Harassment Case Description: Sunita Gupta and Rahul Khanna were both in contention for a senior vice president position at their financial firm. When Rahul received the promotion, Sunita filed workplace harassment charges, claiming Rahul had created a hostile work environment through inappropriate comments and had unfairly undermined her work to the executive team. The case threatened Rahul's new position and reputation within the industry.",Colleague Accuser's Intent: Career Rivalry Legal Loophole Used: Sexual Harassment of Women at Workplace Act misuse Investigation & Evidence: Performance metrics clearly showed Rahul's superior results. HR documentation revealed Sunita had never reported any harassment prior to the promotion decision. Email records and meeting transcripts showed professional interactions. Three female executives who worked closely with both provided statements contradicting the allegations. Outcome & Judgment Basis: Case Dismissed; Internal investigation found no evidence of harassment and documented pattern of competitive behavior by accuser.
JF-020,"The Divorce Settlement Leverage Case Category: Domestic Violence Case Description: During contentious divorce proceedings, Kiran Joshi filed domestic violence charges against her husband Amit after he contested her demand for their jointly-owned vacation property. Kiran claimed a long-standing pattern of controlling behavior and emotional abuse that had never been previously reported. The timing coincided precisely with the court's scheduled property division hearing.","Husband Accuser's Intent: Financial Gain Legal Loophole Used: Protection of Women from Domestic Violence Act misuse Investigation & Evidence: Couple's therapy records from three months prior documented a ""healthy communication pattern"" with no mention of abuse. Text messages between the couple showed amicable interactions until the property dispute arose. Friends and family provided consistent testimonies that there had been no indication of abuse throughout the marriage. Outcome & Judgment Basis: Case Dismissed; Family court noted the suspicious timing and lack of evidence, citing apparent attempt to influence property division."
JF-021,"The Sharma Dowry Dispute Case Category: Dowry Harassment Case Description: Priya Sharma filed a complaint under Section 498A of IPC against her husband Rajiv and in-laws for mental and physical cruelty related to dowry demands. Shortly after their marriage in 2018, Rajiv's family began demanding additional cash and jewelry beyond what was given during the wedding. When Priya's parents couldn't meet these demands, she was subjected to verbal abuse, denied food, and physically assaulted on multiple occasions. The situation escalated when Priya was locked in a room for two days without adequate food after her parents failed to provide a car as demanded by the in-laws. Accused Party: Husband and in-laws Accuser's Intent: Genuine legal complaint Legal Process Followed: Filing of FIR, police investigation, court hearings Investigation & Evidence: Medical reports documenting injuries, witness testimonies from neighbors who heard screaming, text messages from husband and in-laws demanding money, audio recordings of threats made by mother-in-law Outcome & Judgment Basis: The court found the husband and in-laws guilty under Section 498A. Rajiv was sentenced to 3 years imprisonment and fined ₹50,000. His parents received 2-year sentences with ₹25,000 fines each. The court ordered the return of all dowry articles and payment of ₹5 lakhs as compensation to Priya.",
JF-022,"Mehta Workplace Harassment Case Case Category: Workplace Harassment Case Description: Anjali Mehta, a junior marketing executive at a multinational corporation, filed a complaint against her department head, Vikram Singh, for persistent sexual harassment over six months. Singh regularly made inappropriate comments about her appearance, sent suggestive texts after work hours, and created pretexts to be alone with her. When Anjali rejected his advances, he began assigning her impossible deadlines, criticizing her work publicly, and threatening negative performance reviews. The situation became unbearable when he attempted to touch her inappropriately during a late evening meeting. Accused Party: Employer (Department Head) Accuser's Intent: Genuine legal complaint Legal Process Followed: Internal complaint to company's ICC (Internal Complaints Committee), police complaint under Sexual Harassment of Women at Workplace Act Investigation & Evidence: Text message records, email correspondence showing pattern of harassment, testimony from three female colleagues who experienced similar behavior, CCTV footage from office showing inappropriate physical proximity Outcome & Judgment Basis: The ICC found Singh guilty of sexual harassment. He was terminated from employment and blacklisted from the company's partner organizations. The court ordered him to pay ₹7 lakhs as compensation and sentenced him to 1 year imprisonment under the Sexual Harassment of Women at Workplace Act.",
JF-023,"The Patel Domestic Violence Case Case Category: Domestic Violence Case Description: Meera Patel endured severe domestic violence from her husband Nikhil for four years before seeking legal recourse. The abuse included regular beatings, particularly when Nikhil consumed alcohol, verbal degradation, and financial control where Meera was denied access to household funds despite contributing her salary. The violence escalated after the birth of their child, with Nikhil throwing objects at Meera while she was holding the infant. The breaking point came when Nikhil broke Meera's arm during an argument about childcare responsibilities. Accused Party: Husband Accuser's Intent: Genuine legal complaint Legal Process Followed: Emergency protection order, criminal complaint under Domestic Violence Act, family court proceedings Investigation & Evidence: Medical records documenting multiple injuries over years, photographs of bruises and the broken arm, testimony from Meera's parents who witnessed abuse episodes, testimony from neighbors, child's testimony to counselor about witnessing violence Outcome & Judgment Basis: The court granted Meera a protection order, custody of their child, and monthly maintenance. Nikhil was convicted under the Domestic Violence Act, sentenced to 2 years imprisonment, and ordered to undergo mandatory counseling. He was also directed to pay ₹10 lakhs as compensation for physical and emotional trauma.",
JF-024,"The Malhotra Rape Case Case Category: Rape Allegation Case Description: College student Ritu Malhotra filed a rape complaint against her professor, Dr. Anil Kapoor, who had offered extra tutoring sessions for her struggling grades. During one such session in his office, he locked the door, threatened to fail her if she didn't comply with his demands, and sexually assaulted her. Ritu initially hesitated to report due to fear of academic repercussions and shame, but came forward after learning about another student with a similar experience with the same professor. Accused Party: College Professor Accuser's Intent: Genuine legal complaint Legal Process Followed: FIR filing, police investigation, court trial Investigation & Evidence: Medical examination confirming sexual assault, DNA evidence matching the accused, CCTV footage showing Ritu entering and later leaving the professor's office in distress, text messages from professor arranging private meetings, testimony from another victim Outcome & Judgment Basis: The court convicted Dr. Kapoor under Section 376 of IPC for rape. He was sentenced to 10 years rigorous imprisonment and fined ₹5 lakhs, which was awarded to the victim as compensation. The university terminated his employment and revoked his teaching license permanently.",
JF-025,"The Reddy Dowry Death Case Case Category: Dowry Harassment Case Description: Lakshmi Reddy's parents filed a case under Section 304B of IPC (dowry death) after she was found dead in her marital home within seven years of marriage. Lakshmi had married Praveen Reddy three years prior, and her parents had given substantial dowry including gold, cash, and household items. Soon after marriage, Praveen and his family began demanding additional dowry for his business expansion. Lakshmi had repeatedly informed her parents about physical and mental harassment, including being denied food and basic necessities. The day before her death, she called her mother crying about a particularly violent episode after Praveen's business suffered losses. Accused Party: Husband and in-laws Accuser's Intent: Genuine legal complaint Legal Process Followed: Police investigation, autopsy, filing of charges, court trial Investigation & Evidence: Autopsy report showing death by poisoning with bruises indicating regular physical abuse, dying declaration given to the neighbor, phone records of Lakshmi's distress calls to parents, testimonies from neighbors regarding regular fights about money, Lakshmi's diary documenting abuse and dowry demands Outcome & Judgment Basis: The court presumed dowry death under Section 304B as it occurred within seven years of marriage with evidence of dowry harassment. Praveen was sentenced to life imprisonment, while his parents received 7-year sentences. The court ordered confiscation of dowry articles and additional compensation of ₹15 lakhs to Lakshmi's parents.",
JF-026,"The Gupta Workplace Discrimination Case Case Category: Workplace Harassment Case Description: Divya Gupta, a senior software engineer at a tech company, filed a complaint against the company's CTO, Rahul Verma, for gender-based discrimination and harassment. Despite her excellent performance record, Divya was repeatedly passed over for promotion while male colleagues with lesser qualifications were advanced. When she raised concerns, Verma subjected her to public humiliation during meetings, assigned her menial tasks below her skill level, and excluded her from important project discussions. The harassment intensified after she formally complained to HR, with Verma threatening to give her negative reviews that would damage her career prospects. Accused Party: Senior Executive (CTO) Accuser's Intent: Genuine legal complaint Legal Process Followed: Internal complaint to HR, legal notice to company, case filed under Sexual Harassment of Women at Workplace Act Investigation & Evidence: Performance records showing Divya's superior work compared to promoted colleagues, email trails showing exclusion from meetings, witness testimonies from team members, recorded performance reviews showing inconsistent standards, HR complaint documentation showing company inaction Outcome & Judgment Basis: The court found the CTO and company liable for workplace discrimination and harassment. The company was fined ₹30 lakhs for non-compliance with POSH Act requirements. Divya received ₹12 lakhs in back pay for lost promotions and ₹8 lakhs as compensation for mental harassment. The CTO was removed from his position and the company was directed to implement comprehensive anti-discrimination policies.",
JF-027,"The Joshi Marital Rape Case Case Category: Rape Allegation/Domestic Violence Case Description: Sunita Joshi filed a complaint against her husband Deepak for marital rape and domestic violence after enduring three years of abuse. Though married, Sunita repeatedly refused consent for sexual activities due to health issues, but Deepak forced himself on her multiple times, causing injuries. He would physically restrain her, threaten to harm her family members, and emotionally manipulate her by threatening suicide if she didn't comply. The situation worsened when she discovered he was having an extramarital affair and confronted him, leading to severe physical assault that required hospitalization. Accused Party: Husband Accuser's Intent: Genuine legal complaint Legal Process Followed: Medical examination, police complaint, court proceedings under Domestic Violence Act Investigation & Evidence: Medical reports documenting genital injuries consistent with forced intercourse, psychological evaluation showing trauma symptoms, audio recordings of threats made by husband, testimonies from domestic help who witnessed physical violence, hospital records of injuries from multiple incidents Outcome & Judgment Basis: While marital rape is not criminalized separately in India, the court convicted Deepak under Domestic Violence Act for sexual abuse within marriage and physical cruelty. He was sentenced to 3 years imprisonment, ordered to pay ₹8 lakhs as compensation, and the court granted Sunita divorce on grounds of cruelty with monthly maintenance.",
JF-028,"The Bajaj Gang Rape Case Case Category: Rape Allegation Case Description: Neha Bajaj was returning home from her night shift at a call center when her cab was intercepted by three men on a deserted road. The men dragged her into a nearby abandoned building where they brutally gang-raped her for hours. They filmed the assault and threatened to release the video if she reported the crime. Despite the threats, Neha reported the incident immediately after reaching home safely. She could identify one attacker as someone who had previously harassed her near her workplace. Accused Party: Three unknown assailants (one partially identified) Accuser's Intent: Genuine legal complaint Legal Process Followed: Immediate FIR, medical examination, police investigation, trial under fast-track court Investigation & Evidence: Medical report confirming sexual assault with severe injuries, DNA samples from the crime scene matching the accused, CCTV footage from nearby gas station identifying the suspects' vehicle, mobile tower location data placing all three accused at the crime scene, taxi driver's testimony, recovery of victim's torn clothes from the crime scene Outcome & Judgment Basis: All three accused were convicted under Sections 376D (gang rape), 366 (kidnapping), and 506 (criminal intimidation) of IPC. They received 20-year rigorous imprisonment sentences and were fined ₹10 lakhs each, with 80% of the amount awarded to the victim as compensation. The court also ordered police protection for the victim and her family.",
JF-029,"The Kumar Acid Attack Case Case Category: Domestic Violence/Criminal Assault Case Description: Pooja Kumar filed a case against her former boyfriend, Sanjay Rawat, for attacking her with acid after she ended their relationship and got engaged to someone else. Sanjay had shown controlling and obsessive behavior during their relationship, which led Pooja to break up with him. He repeatedly stalked her and threatened to ""ruin her life"" if she married someone else. One evening, he waited outside her workplace and threw acid on her face as she was leaving, causing severe burns and permanent disfigurement to her face, neck, and upper body. Accused Party: Former boyfriend Accuser's Intent: Genuine legal complaint Legal Process Followed: Emergency medical care, FIR, police investigation, fast-track court trial Investigation & Evidence: CCTV footage capturing the attack, purchase receipts of acid from local shop by the accused, multiple witness testimonies from coworkers present during the attack, threatening text messages saved by the victim, accused's browser history showing searches about acid attacks and their effects Outcome & Judgment Basis: The court convicted Sanjay under Section 326A of IPC (acid attack). He was sentenced to 10 years imprisonment and fined ₹10 lakhs. The court ordered the state government to provide ₹3 lakhs as immediate relief for medical treatment and additional compensation under the Victim Compensation Scheme. The judgment emphasized the premeditated nature of the crime and the lifelong impact on the victim.",
JF-030,"The Singh Child Marriage and Domestic Violence Case Case Category: Domestic Violence Case Description: Eighteen-year-old Meenakshi Singh filed a complaint against her husband and in-laws for domestic violence and illegal child marriage. Meenakshi was married at age 15 to Surinder Singh, who was 24 at the time. Since the marriage, she suffered regular physical abuse for ""not fulfilling household duties properly,"" was denied education despite her interest in studying, and was confined to the house. When she developed health complications during her pregnancy at 17, her in-laws refused proper medical care, resulting in a miscarriage. After this incident, the abuse worsened, with her husband beating her severely for ""failing to provide an heir."" Accused Party: Husband and in-laws Accuser's Intent: Genuine legal complaint Legal Process Followed: Police rescue operation, filing of FIR, medical examination, court proceedings Investigation & Evidence: Marriage certificate with falsified age, school records proving Meenakshi's actual age at marriage, medical reports documenting multiple fractures and injuries, photographs of bruises and confined living conditions, testimony from village schoolteacher who attempted to intervene, hospital records of pregnancy complications and denial of care Outcome & Judgment Basis: The court convicted the husband and in-laws under the Prohibition of Child Marriage Act, Domestic Violence Act, and relevant sections of IPC. The husband received 7 years imprisonment while in-laws received 5 years each. The marriage was declared void ab initio due to Meenakshi being underage. The court ordered rehabilitation support, educational opportunities for Meenakshi, and compensation of ₹10 lakhs from the accused. The judgment highlighted the intersecting vulnerabilities of child marriage victims and emphasized state responsibility in preventing such marriages.",
JF-031,"The Faridabad Factory Harassment Case Category: Workplace Harassment Case Description: A 29-year-old female employee at a textile manufacturing unit in Faridabad filed a complaint against her supervisor for persistent sexual harassment. Over six months, the supervisor made unwanted advances, inappropriate comments about her appearance, and threatened her job security if she didn't comply with his demands. The situation escalated when he cornered her in the storage room and attempted to physically assault her. The incident was interrupted by another employee, who later came forward as a witness.","Factory Supervisor Accuser's Intent: Genuine legal complaint Legal Process Followed: Filing of FIR, Internal Complaints Committee investigation, Court Hearing Investigation & Evidence: Multiple text messages from the accused containing inappropriate content, testimony from four female co-workers reporting similar behavior, security camera footage showing the accused following the victim to isolated areas, and witness testimony from the employee who interrupted the assault attempt. Outcome & Judgment Basis: The accused was found guilty of workplace sexual harassment under the Sexual Harassment of Women at Workplace Act, 2013. He was sentenced to one year imprisonment and ordered to pay ₹500,000 in compensation to the victim. The company was also directed to implement stronger anti-harassment policies."
JF-032,"The Jaipur Dowry Demand Case Category: Dowry Harassment Case Description: A 24-year-old woman married into a wealthy business family in Jaipur. Shortly after marriage, her in-laws began demanding additional dowry, including luxury items and cash worth ₹25 lakhs. When the demands weren't met, she was subjected to physical abuse and starvation. Her husband and mother-in-law would lock her in a room for days without food when she called her parents for help. After three months of marriage, she was hospitalized with severe malnutrition and injuries, prompting her parents to file a police complaint.","Husband and In-laws Accuser's Intent: Genuine legal complaint Legal Process Followed: Filing of FIR, Medical Examination, Court Proceedings Investigation & Evidence: Medical reports confirming malnutrition and physical injuries, photographs of bruises and wounds, recorded phone conversations where in-laws explicitly demanded dowry, testimony from neighbors who heard screams, and bank statements showing transfers from the victim's parents after threats. Outcome & Judgment Basis: The husband and mother-in-law were convicted under Section 498A of IPC and the Dowry Prohibition Act. Both received three years imprisonment and were ordered to return all dowry items plus additional compensation of ₹10 lakhs to the victim. The court granted divorce to the victim with full alimony rights."
JF-033,"The Delhi University Professor Case Case Category: Workplace Harassment Case Description: A female assistant professor at a prestigious Delhi University college filed complaints against the department head for blocking her career advancement opportunities due to her refusal of his romantic advances. Over two years, he consistently gave her unfavorable teaching schedules, denied research opportunities, rejected leave requests, and made derogatory comments about her academic capabilities in faculty meetings. When she applied for promotion, he deliberately provided negative evaluations despite her excellent publication record.","Department Head (Professor) Accuser's Intent: Genuine legal complaint Legal Process Followed: Internal Complaints Committee, University Tribunal, Civil Court Case Investigation & Evidence: Email correspondence showing pattern of discrimination, comparative data of workload allocation showing disparity, recorded conversations where the accused made inappropriate proposals, testimony from other faculty members confirming biased treatment, and documentation of qualified publications that were unfairly evaluated. Outcome & Judgment Basis: The University Tribunal found the department head guilty of gender-based discrimination and sexual harassment. He was removed from his administrative position, suspended for six months without pay, and the victim received compensation of ₹8 lakhs. The court also ordered the university to implement her promotion retroactively with all benefits."
